사용일자,2호선,합계
2019-09-03,59422,59422
2019-09-04,58325,58325
2019-09-05,59066,59066
2019-09-06,61495,61495
2019-09-07,28200,28200
2019-09-08,30287,30287
2019-09-09,57629,57629
2019-09-10,57199,57199
2019-09-11,55007,55007
2019-09-12,19015,19015
2019-09-13,17511,17511
2019-09-14,28484,28484
2019-09-15,26413,26413
2019-09-16,53460,53460
2019-09-17,57601,57601
2019-09-18,58707,58707
2019-09-19,60013,60013
2019-09-20,62892,62892
2019-09-21,42091,42091
2019-09-22,29118,29118
2019-09-23,58478,58478
2019-09-24,60341,60341
2019-09-25,59579,59579
2019-09-26,60950,60950
2019-09-27,63337,63337
2019-09-28,41626,41626
2019-09-29,30915,30915
2019-09-30,57589,57589
2019-10-01,58407,58407
2019-10-02,59565,59565
2019-10-03,46126,46126
2019-10-04,59390,59390
2019-10-05,41288,41288
2019-10-06,30428,30428
2019-10-07,50955,50955
2019-10-08,59428,59428
2019-10-09,39092,39092
2019-10-10,57028,57028
2019-10-11,60732,60732
2019-10-12,39180,39180
2019-10-13,29941,29941
2019-10-14,56234,56234
2019-10-15,57500,57500
2019-10-16,57710,57710
2019-10-17,58135,58135
2019-10-18,59721,59721
2019-10-19,39871,39871
2019-10-20,29830,29830
2019-10-21,57427,57427
2019-10-22,58252,58252
2019-10-23,58356,58356
2019-10-24,60016,60016
2019-10-25,65250,65250
2019-10-26,42693,42693
2019-10-27,32363,32363
2019-10-28,60038,60038
2019-10-29,59792,59792
2019-10-30,60345,60345
2019-10-31,60599,60599
2019-11-01,61619,61619
2019-11-02,42039,42039
2019-11-03,31318,31318
2019-11-04,57113,57113
2019-11-05,57994,57994
2019-11-06,58379,58379
2019-11-07,59198,59198
2019-11-08,62243,62243
2019-11-09,42340,42340
2019-11-10,30358,30358
2019-11-11,56503,56503
2019-11-12,57693,57693
2019-11-13,57389,57389
2019-11-14,58393,58393
2019-11-15,59752,59752
2019-11-16,42077,42077
2019-11-17,27886,27886
2019-11-18,57248,57248
2019-11-19,58980,58980
2019-11-20,59216,59216
2019-11-21,60041,60041
2019-11-22,62189,62189
2019-11-23,41180,41180
2019-11-24,29670,29670
2019-11-25,56968,56968
2019-11-26,59255,59255
2019-11-27,59881,59881
2019-11-28,60196,60196
2019-11-29,63456,63456
2019-11-30,41817,41817
2019-12-01,27780,27780
2019-12-02,57369,57369
2019-12-03,57887,57887
2019-12-04,58953,58953
2019-12-05,59583,59583
2019-12-06,61267,61267
2019-12-07,42829,42829
2019-12-08,30412,30412
2019-12-09,57157,57157
2019-12-10,58928,58928
2019-12-11,59680,59680
2019-12-12,60714,60714
