사용일자,1호선,3호선,5호선,합계
2019,11757710,5132419,5926817,22816946
2020,7545803,3462440,3729222,14737465
2021,7011150,3353246,3730270,14094666
2022,7913074,3785278,4508950,16207302
2023,4325090,2087500,2538076,8950666
