사용일자,5호선,9호선,합계
2019-07-19,33071,27918,60989
2019-07-20,11093,9562,20655
2019-07-21,7104,6148,13252
2019-07-22,32094,26634,58728
2019-07-23,32566,27121,59687
2019-07-24,31878,26773,58651
2019-07-25,31646,26476,58122
2019-07-26,31040,25708,56748
2019-07-27,11002,9422,20424
2019-07-28,6280,5992,12272
2019-07-29,30429,25453,55882
2019-07-30,31083,25767,56850
2019-07-31,30221,24778,54999
2019-08-01,30426,25244,55670
2019-08-02,30326,25609,55935
2019-08-03,10268,8662,18930
2019-08-04,7151,6536,13687
2019-08-05,30144,25300,55444
2019-08-06,30957,25900,56857
2019-08-07,30916,25447,56363
2019-08-08,31453,26588,58041
2019-08-09,30946,26428,57374
2019-08-10,10795,9330,20125
2019-08-11,7448,6855,14303
2019-08-12,30382,25048,55430
2019-08-13,31264,26465,57729
2019-08-14,31372,26610,57982
2019-08-15,8172,6708,14880
2019-08-16,26659,22326,48985
2019-08-17,10531,8818,19349
2019-08-18,7537,6770,14307
2019-08-19,31125,26325,57450
2019-08-20,32059,27151,59210
2019-08-21,32295,26923,59218
2019-08-22,32276,27418,59694
2019-08-23,32352,27620,59972
2019-08-24,13350,10969,24319
2019-08-25,7962,7138,15100
2019-08-26,31697,26828,58525
2019-08-27,31912,27189,59101
2019-08-28,32446,27727,60173
2019-08-29,31615,27148,58763
2019-08-30,33031,28417,61448
2019-08-31,14581,12085,26666
2019-09-01,12775,10223,22998
2019-09-02,31955,27018,58973
2019-09-03,32371,27120,59491
2019-09-04,32078,26847,58925
2019-09-05,31785,26571,58356
2019-09-06,32322,27698,60020
2019-09-07,9403,7588,16991
2019-09-08,8108,7189,15297
2019-09-09,32532,27123,59655
2019-09-10,31861,26927,58788
2019-09-11,28404,24158,52562
2019-09-12,4685,4211,8896
2019-09-13,5020,4295,9315
2019-09-14,6148,5453,11601
2019-09-15,7019,6375,13394
2019-09-16,30170,25448,55618
2019-09-17,32705,27569,60274
2019-09-18,33230,28180,61410
2019-09-19,33424,28059,61483
2019-09-20,34049,28631,62680
2019-09-21,15874,13069,28943
2019-09-22,6844,6208,13052
2019-09-23,32441,27379,59820
2019-09-24,33288,28174,61462
2019-09-25,33408,28232,61640
2019-09-26,32792,28201,60993
2019-09-27,33614,28396,62010
2019-09-28,15389,12805,28194
2019-09-29,13152,10967,24119
2019-09-30,32595,27633,60228
2019-10-01,32350,27949,60299
2019-10-02,32543,28019,60562
2019-10-03,10485,7960,18445
2019-10-04,29120,24732,53852
2019-10-05,26665,22066,48731
2019-10-06,7895,6948,14843
2019-10-07,31864,25644,57508
2019-10-08,33218,27778,60996
2019-10-09,11011,8743,19754
2019-10-10,32222,27106,59328
2019-10-11,32768,27755,60523
2019-10-12,13376,11402,24778
2019-10-13,11177,8922,20099
2019-10-14,31852,27008,58860
2019-10-15,32967,27845,60812
2019-10-16,32193,27806,59999
2019-10-17,32319,27847,60166
2019-10-18,32934,27900,60834
2019-10-19,19829,15050,34879
2019-10-20,8783,7475,16258
2019-10-21,32351,27190,59541
2019-10-22,32624,27737,60361
2019-10-23,34174,28242,62416
2019-10-24,32621,28109,60730
2019-10-25,33752,28599,62351
2019-10-26,25366,20287,45653
2019-10-27,9521,8297,17818
2019-10-28,32269,27486,59755
2019-10-29,32802,27491,60293
2019-10-30,33185,28533,61718
2019-10-31,32841,28063,60904
2019-11-01,32676,28069,60745
2019-11-02,20650,16841,37491
2019-11-03,12612,11344,23956
2019-11-04,32263,27607,59870
2019-11-05,32540,27810,60350
2019-11-06,32894,28080,60974
2019-11-07,33005,28410,61415
2019-11-08,32856,27829,60685
2019-11-09,23258,16248,39506
2019-11-10,7478,6908,14386
2019-11-11,32328,27416,59744
2019-11-12,32961,27781,60742
2019-11-13,32601,27738,60339
2019-11-14,32247,27753,60000
2019-11-15,32056,26910,58966
2019-11-16,13709,11270,24979
2019-11-17,7372,6443,13815
2019-11-18,32132,27235,59367
2019-11-19,32756,27359,60115
2019-11-20,32946,27727,60673
2019-11-21,33355,28218,61573
2019-11-22,33039,28114,61153
2019-11-23,12816,10887,23703
2019-11-24,7394,6921,14315
2019-11-25,32040,27231,59271
2019-11-26,33048,28027,61075
2019-11-27,33777,28716,62493
2019-11-28,33536,28439,61975
2019-11-29,33618,28757,62375
2019-11-30,18075,14737,32812
2019-12-01,7532,6374,13906
2019-12-02,32477,27563,60040
2019-12-03,33710,27929,61639
2019-12-04,33713,28592,62305
2019-12-05,33812,28346,62158
2019-12-06,32913,27918,60831
2019-12-07,15576,13132,28708
2019-12-08,7960,6990,14950
2019-12-09,32964,27183,60147
2019-12-10,33746,27789,61535
2019-12-11,33977,28167,62144
2019-12-12,33828,28362,62190
2019-12-13,34384,28552,62936
2019-12-14,14727,12174,26901
2019-12-15,8072,7176,15248
2019-12-16,34017,28458,62475
2019-12-17,34230,28276,62506
2019-12-18,34620,29026,63646
2019-12-19,34710,29333,64043
2019-12-20,35147,29525,64672
2019-12-21,13779,11503,25282
2019-12-22,8003,7506,15509
2019-12-23,33211,27468,60679
2019-12-24,32588,26785,59373
2019-12-25,9356,7661,17017
2019-12-26,32091,26271,58362
2019-12-27,31852,26320,58172
2019-12-28,11545,9717,21262
2019-12-29,6981,6649,13630
2019-12-30,30944,25359,56303
2019-12-31,27112,21770,48882
2020-01-01,4914,4455,9369
2020-01-02,30935,25487,56422
2020-01-03,31914,26557,58471
2020-01-04,10508,8900,19408
2020-01-05,6722,6120,12842
2020-01-06,32213,26805,59018
2020-01-07,32806,26604,59410
2020-01-08,32961,27306,60267
2020-01-09,33186,27489,60675
2020-01-10,33542,27745,61287
2020-01-11,11741,10143,21884
2020-01-12,6856,6556,13412
2020-01-13,32564,27119,59683
2020-01-14,33028,27352,60380
2020-01-15,33483,27676,61159
2020-01-16,33709,27958,61667
2020-01-17,33600,28071,61671
2020-01-18,11583,9443,21026
2020-01-19,6910,6368,13278
2020-01-20,33026,27688,60714
2020-01-21,33170,28055,61225
2020-01-22,32947,27864,60811
2020-01-23,29043,24272,53315
2020-01-24,4230,3699,7929
2020-01-25,3446,3233,6679
2020-01-26,5071,4720,9791
2020-01-27,5693,5305,10998
2020-01-28,29103,24001,53104
2020-01-29,31291,26286,57577
2020-01-30,31897,26650,58547
2020-01-31,31499,26232,57731
2020-02-01,8997,7724,16721
2020-02-02,5758,5141,10899
2020-02-03,30545,25162,55707
2020-02-04,30657,25211,55868
2020-02-05,30286,24922,55208
2020-02-06,30062,24955,55017
2020-02-07,30472,24954,55426
2020-02-08,9213,7447,16660
2020-02-09,5253,4995,10248
2020-02-10,30628,25166,55794
2020-02-11,31226,25652,56878
2020-02-12,30428,25150,55578
2020-02-13,31405,26153,57558
2020-02-14,31617,26469,58086
2020-02-15,9851,8576,18427
2020-02-16,6195,5506,11701
2020-02-17,31540,26319,57859
2020-02-18,31102,25950,57052
2020-02-19,31234,25923,57157
2020-02-20,31102,25864,56966
2020-02-21,29643,24790,54433
2020-02-22,8027,6634,14661
2020-02-23,4976,4392,9368
2020-02-24,27147,21682,48829
2020-02-25,25967,20107,46074
2020-02-26,25405,19881,45286
2020-02-27,24343,18796,43139
2020-02-28,22485,17171,39656
2020-02-29,4903,3577,8480
2020-03-01,3058,2421,5479
2020-03-02,22342,17122,39464
2020-03-03,22318,16993,39311
2020-03-04,22216,17117,39333
2020-03-05,22519,17743,40262
2020-03-06,22389,17684,40073
2020-03-07,5830,4573,10403
2020-03-08,3908,3371,7279
2020-03-09,23670,18667,42337
2020-03-10,23533,18295,41828
2020-03-11,23237,18658,41895
2020-03-12,23164,18475,41639
2020-03-13,22694,17965,40659
2020-03-14,6252,5065,11317
2020-03-15,3493,3078,6571
2020-03-16,23244,18599,41843
2020-03-17,23377,18727,42104
2020-03-18,23790,19152,42942
2020-03-19,23332,18508,41840
2020-03-20,23531,19007,42538
2020-03-21,6764,5472,12236
2020-03-22,4643,3897,8540
2020-03-23,23854,19314,43168
2020-03-24,24037,19541,43578
2020-03-25,24531,19610,44141
2020-03-26,23778,19187,42965
2020-03-27,23972,19452,43424
2020-03-28,7642,5898,13540
2020-03-29,4824,4032,8856
2020-03-30,24486,19747,44233
2020-03-31,24720,20183,44903
2020-04-01,24829,19790,44619
2020-04-02,24641,19564,44205
2020-04-03,24536,19645,44181
2020-04-04,6939,5503,12442
2020-04-05,4229,3514,7743
2020-04-06,24823,20301,45124
2020-04-07,24986,20172,45158
2020-04-08,25025,20189,45214
2020-04-09,25143,20474,45617
2020-04-10,24866,20009,44875
2020-04-11,6583,5293,11876
2020-04-12,4185,3536,7721
2020-04-13,25091,20632,45723
2020-04-14,25838,20954,46792
2020-04-15,5585,4444,10029
2020-04-16,25517,20915,46432
2020-04-17,25093,20488,45581
2020-04-18,7305,6151,13456
2020-04-19,3901,3355,7256
2020-04-20,25951,21235,47186
2020-04-21,26342,21535,47877
2020-04-22,26483,21660,48143
2020-04-23,26652,21655,48307
2020-04-24,26746,22082,48828
2020-04-25,8031,6586,14617
2020-04-26,4959,4131,9090
2020-04-27,27027,22515,49542
2020-04-28,27420,22838,50258
2020-04-29,27624,22961,50585
2020-04-30,6679,5419,12098
2020-05-01,7149,5807,12956
2020-05-02,6663,5577,12240
2020-05-03,4981,4314,9295
2020-05-04,21258,17283,38541
2020-05-05,5568,4626,10194
2020-05-06,28310,23408,51718
2020-05-07,28682,23933,52615
2020-05-08,28207,23382,51589
2020-05-09,7284,6204,13488
2020-05-10,5044,4572,9616
2020-05-11,27876,23150,51026
