사용일자,6호선,합계
2019-09-03,14278,14278
2019-09-04,13937,13937
2019-09-05,15231,15231
2019-09-06,22621,22621
2019-09-07,14591,14591
2019-09-08,14201,14201
2019-09-09,13687,13687
2019-09-10,13901,13901
2019-09-11,21194,21194
2019-09-12,15409,15409
2019-09-13,21720,21720
2019-09-14,22405,22405
2019-09-15,13046,13046
2019-09-16,13384,13384
2019-09-17,14166,14166
2019-09-18,15190,15190
2019-09-19,16153,16153
2019-09-20,25373,25373
2019-09-21,28775,28775
2019-09-22,12988,12988
2019-09-23,14327,14327
2019-09-24,14798,14798
2019-09-25,15517,15517
2019-09-26,16455,16455
2019-09-27,25261,25261
2019-09-28,30113,30113
2019-09-29,15491,15491
2019-09-30,14068,14068
2019-10-01,14705,14705
2019-10-02,19458,19458
2019-10-03,18615,18615
2019-10-04,24477,24477
2019-10-05,29476,29476
2019-10-06,14615,14615
2019-10-07,12604,12604
2019-10-08,20316,20316
2019-10-09,15828,15828
2019-10-10,15148,15148
2019-10-11,22760,22760
2019-10-12,48537,48537
2019-10-13,28547,28547
2019-10-14,13702,13702
2019-10-15,14022,14022
2019-10-16,14365,14365
2019-10-17,16059,16059
2019-10-18,23177,23177
2019-10-19,27948,27948
2019-10-20,14403,14403
2019-10-21,13824,13824
2019-10-22,14578,14578
2019-10-23,15417,15417
2019-10-24,16966,16966
2019-10-25,34329,34329
2019-10-26,57844,57844
2019-10-27,20585,20585
2019-10-28,16159,16159
2019-10-29,15998,15998
2019-10-30,19431,19431
2019-10-31,49835,49835
2019-11-01,29155,29155
2019-11-02,30990,30990
2019-11-03,14852,14852
2019-11-04,13832,13832
2019-11-05,13857,13857
2019-11-06,14606,14606
2019-11-07,15920,15920
2019-11-08,23531,23531
2019-11-09,29661,29661
2019-11-10,13651,13651
2019-11-11,13404,13404
2019-11-12,13787,13787
2019-11-13,13785,13785
2019-11-14,15818,15818
2019-11-15,22353,22353
2019-11-16,27609,27609
2019-11-17,11668,11668
2019-11-18,13303,13303
2019-11-19,13859,13859
2019-11-20,14512,14512
2019-11-21,15233,15233
2019-11-22,23488,23488
2019-11-23,27320,27320
2019-11-24,13397,13397
2019-11-25,13071,13071
2019-11-26,14034,14034
2019-11-27,14774,14774
2019-11-28,16363,16363
2019-11-29,24727,24727
2019-11-30,27877,27877
2019-12-01,12541,12541
2019-12-02,12974,12974
2019-12-03,13565,13565
2019-12-04,14227,14227
2019-12-05,14757,14757
2019-12-06,22042,22042
2019-12-07,26127,26127
2019-12-08,13757,13757
2019-12-09,13255,13255
2019-12-10,13705,13705
2019-12-11,15010,15010
2019-12-12,16332,16332
2019-12-13,24916,24916
2019-12-14,29122,29122
2019-12-15,14696,14696
2019-12-16,14094,14094
2019-12-17,14549,14549
2019-12-18,16201,16201
2019-12-19,18050,18050
2019-12-20,27196,27196
2019-12-21,30514,30514
2019-12-22,17115,17115
2019-12-23,16885,16885
2019-12-24,36723,36723
2019-12-25,24849,24849
2019-12-26,18159,18159
2019-12-27,25988,25988
2019-12-28,30030,30030
2019-12-29,16402,16402
2019-12-30,17676,17676
2019-12-31,29789,29789
2020-01-01,11098,11098
2020-01-02,14854,14854
2020-01-03,21245,21245
2020-01-04,24107,24107
2020-01-05,13025,13025
2020-01-06,12545,12545
2020-01-07,12073,12073
2020-01-08,13806,13806
2020-01-09,14648,14648
2020-01-10,21448,21448
2020-01-11,25739,25739
2020-01-12,13872,13872
2020-01-13,13011,13011
2020-01-14,13273,13273
2020-01-15,14085,14085
2020-01-16,15272,15272
2020-01-17,22583,22583
2020-01-18,26476,26476
2020-01-19,13490,13490
2020-01-20,13231,13231
2020-01-21,13704,13704
2020-01-22,14571,14571
2020-01-23,19111,19111
2020-01-24,16446,16446
2020-01-25,14817,14817
2020-01-26,16527,16527
2020-01-27,10098,10098
2020-01-28,11877,11877
2020-01-29,12554,12554
