사용일자,2호선,합계
2019-09-03,38617,38617
2019-09-04,38302,38302
2019-09-05,38178,38178
2019-09-06,39352,39352
2019-09-07,12776,12776
2019-09-08,12110,12110
2019-09-09,38535,38535
2019-09-10,38808,38808
2019-09-11,35435,35435
2019-09-12,7757,7757
2019-09-13,6302,6302
2019-09-14,9747,9747
2019-09-15,10822,10822
2019-09-16,35961,35961
2019-09-17,38554,38554
2019-09-18,39548,39548
2019-09-19,40061,40061
2019-09-20,41462,41462
2019-09-21,21918,21918
2019-09-22,11225,11225
2019-09-23,38284,38284
2019-09-24,39473,39473
2019-09-25,39954,39954
2019-09-26,39759,39759
2019-09-27,40599,40599
2019-09-28,21793,21793
2019-09-29,13252,13252
2019-09-30,38319,38319
2019-10-01,38715,38715
2019-10-02,39086,39086
2019-10-03,17268,17268
2019-10-04,35850,35850
2019-10-05,18933,18933
2019-10-06,12038,12038
2019-10-07,37424,37424
2019-10-08,39738,39738
2019-10-09,17299,17299
2019-10-10,38694,38694
2019-10-11,40837,40837
2019-10-12,20286,20286
2019-10-13,13588,13588
2019-10-14,38577,38577
2019-10-15,40323,40323
2019-10-16,40195,40195
2019-10-17,39475,39475
2019-10-18,40741,40741
2019-10-19,20438,20438
2019-10-20,13064,13064
2019-10-21,38225,38225
2019-10-22,39190,39190
2019-10-23,39566,39566
2019-10-24,40591,40591
2019-10-25,42032,42032
2019-10-26,23144,23144
2019-10-27,14775,14775
2019-10-28,38751,38751
2019-10-29,39441,39441
2019-10-30,39788,39788
2019-10-31,40165,40165
2019-11-01,40982,40982
2019-11-02,19753,19753
2019-11-03,12806,12806
2019-11-04,38559,38559
2019-11-05,39315,39315
2019-11-06,40378,40378
2019-11-07,40566,40566
2019-11-08,41798,41798
2019-11-09,20339,20339
2019-11-10,12562,12562
2019-11-11,37553,37553
2019-11-12,38704,38704
2019-11-13,38828,38828
2019-11-14,39493,39493
2019-11-15,38725,38725
2019-11-16,20657,20657
2019-11-17,11270,11270
2019-11-18,38623,38623
2019-11-19,38660,38660
2019-11-20,39290,39290
2019-11-21,39565,39565
2019-11-22,40717,40717
2019-11-23,20331,20331
2019-11-24,12030,12030
2019-11-25,38302,38302
2019-11-26,39444,39444
2019-11-27,39840,39840
2019-11-28,40595,40595
2019-11-29,43050,43050
2019-11-30,22598,22598
2019-12-01,12625,12625
2019-12-02,37993,37993
2019-12-03,39483,39483
2019-12-04,40044,40044
2019-12-05,39874,39874
2019-12-06,39895,39895
2019-12-07,20627,20627
2019-12-08,13826,13826
2019-12-09,37839,37839
2019-12-10,39418,39418
2019-12-11,40042,40042
2019-12-12,40450,40450
2019-12-13,41532,41532
2019-12-14,21141,21141
2019-12-15,13758,13758
2019-12-16,39200,39200
2019-12-17,40389,40389
2019-12-18,41285,41285
2019-12-19,41378,41378
2019-12-20,42652,42652
2019-12-21,24121,24121
2019-12-22,13622,13622
2019-12-23,40356,40356
2019-12-24,41084,41084
2019-12-25,15406,15406
2019-12-26,39359,39359
2019-12-27,40414,40414
2019-12-28,19395,19395
2019-12-29,13091,13091
2019-12-30,37737,37737
2019-12-31,34767,34767
2020-01-01,9685,9685
2020-01-02,37434,37434
2020-01-03,39585,39585
2020-01-04,18223,18223
2020-01-05,11912,11912
2020-01-06,38817,38817
2020-01-07,38346,38346
2020-01-08,40124,40124
2020-01-09,40438,40438
2020-01-10,40983,40983
2020-01-11,21146,21146
2020-01-12,12969,12969
2020-01-13,38084,38084
2020-01-14,40170,40170
2020-01-15,40273,40273
2020-01-16,41137,41137
2020-01-17,41646,41646
2020-01-18,22226,22226
2020-01-19,13251,13251
2020-01-20,40175,40175
2020-01-21,40732,40732
2020-01-22,40532,40532
2020-01-23,36193,36193
2020-01-24,8137,8137
2020-01-25,5958,5958
2020-01-26,9343,9343
2020-01-27,11302,11302
2020-01-28,36524,36524
2020-01-29,39450,39450
2020-01-30,39368,39368
2020-01-31,40065,40065
2020-02-01,17802,17802
2020-02-02,11806,11806
2020-02-03,37443,37443
2020-02-04,38039,38039
2020-02-05,37778,37778
2020-02-06,37260,37260
2020-02-07,38668,38668
2020-02-08,16756,16756
2020-02-09,10879,10879
2020-02-10,36989,36989
2020-02-11,38821,38821
2020-02-12,38469,38469
2020-02-13,39058,39058
2020-02-14,39822,39822
2020-02-15,18397,18397
2020-02-16,11161,11161
2020-02-17,38470,38470
2020-02-18,38960,38960
2020-02-19,38831,38831
2020-02-20,38344,38344
2020-02-21,36985,36985
2020-02-22,14299,14299
2020-02-23,8913,8913
2020-02-24,33855,33855
2020-02-25,33108,33108
2020-02-26,33139,33139
2020-02-27,32380,32380
2020-02-28,31058,31058
2020-02-29,11464,11464
2020-03-01,6863,6863
2020-03-02,30768,30768
2020-03-03,31401,31401
2020-03-04,30969,30969
2020-03-05,31485,31485
2020-03-06,31563,31563
2020-03-07,12018,12018
2020-03-08,7902,7902
2020-03-09,31467,31467
2020-03-10,31939,31939
2020-03-11,32742,32742
2020-03-12,32367,32367
2020-03-13,32388,32388
2020-03-14,13180,13180
2020-03-15,8178,8178
2020-03-16,31861,31861
2020-03-17,32204,32204
2020-03-18,32520,32520
2020-03-19,31716,31716
2020-03-20,33124,33124
2020-03-21,13761,13761
2020-03-22,8621,8621
2020-03-23,31076,31076
2020-03-24,32386,32386
2020-03-25,32426,32426
2020-03-26,32216,32216
2020-03-27,33007,33007
2020-03-28,13388,13388
2020-03-29,8158,8158
2020-03-30,32317,32317
2020-03-31,32793,32793
2020-04-01,33060,33060
2020-04-02,32857,32857
2020-04-03,33568,33568
2020-04-04,13632,13632
2020-04-05,8746,8746
2020-04-06,32998,32998
2020-04-07,33462,33462
2020-04-08,33434,33434
2020-04-09,33769,33769
2020-04-10,34419,34419
2020-04-11,14297,14297
2020-04-12,8824,8824
2020-04-13,32717,32717
2020-04-14,34480,34480
2020-04-15,14084,14084
2020-04-16,34201,34201
2020-04-17,33953,33953
2020-04-18,15517,15517
2020-04-19,8872,8872
2020-04-20,33817,33817
2020-04-21,34624,34624
2020-04-22,34449,34449
2020-04-23,34920,34920
2020-04-24,36230,36230
2020-04-25,16078,16078
2020-04-26,10252,10252
2020-04-27,35270,35270
2020-04-28,35912,35912
2020-04-29,36839,36839
2020-04-30,14479,14479
2020-05-01,15280,15280
2020-05-02,14197,14197
2020-05-03,10512,10512
2020-05-04,27815,27815
2020-05-05,13050,13050
2020-05-06,35770,35770
2020-05-07,36312,36312
2020-05-08,36233,36233
2020-05-09,13584,13584
2020-05-10,10387,10387
2020-05-11,34898,34898
2020-05-12,35471,35471
2020-05-13,36021,36021
2020-05-14,36124,36124
2020-05-15,35703,35703
2020-05-16,16734,16734
2020-05-17,11240,11240
2020-05-18,34632,34632
2020-05-19,35821,35821
2020-05-20,37410,37410
2020-05-21,36912,36912
2020-05-22,37144,37144
2020-05-23,18191,18191
2020-05-24,11037,11037
2020-05-25,35581,35581
2020-05-26,35423,35423
2020-05-27,36072,36072
2020-05-28,34975,34975
2020-05-29,35289,35289
2020-05-30,15552,15552
2020-05-31,10124,10124
