사용일자,3호선,합계
2019-09-03,29724,29724
2019-09-04,27933,27933
2019-09-05,28559,28559
2019-09-06,30442,30442
2019-09-07,12629,12629
2019-09-08,15342,15342
2019-09-09,28226,28226
2019-09-10,27618,27618
2019-09-11,24122,24122
2019-09-12,11511,11511
2019-09-13,18212,18212
2019-09-14,18079,18079
2019-09-15,15417,15417
2019-09-16,26838,26838
2019-09-17,29725,29725
2019-09-18,30174,30174
2019-09-19,30902,30902
2019-09-20,32442,32442
2019-09-21,27327,27327
2019-09-22,12955,12955
2019-09-23,29792,29792
2019-09-24,31602,31602
2019-09-25,31143,31143
2019-09-26,31027,31027
2019-09-27,32874,32874
2019-09-28,28926,28926
2019-09-29,18355,18355
2019-09-30,29156,29156
2019-10-01,30830,30830
2019-10-02,29629,29629
2019-10-03,30168,30168
2019-10-04,31940,31940
2019-10-05,28609,28609
2019-10-06,17887,17887
2019-10-07,26730,26730
2019-10-08,32292,32292
2019-10-09,30938,30938
2019-10-10,30406,30406
2019-10-11,33556,33556
2019-10-12,27625,27625
2019-10-13,18785,18785
2019-10-14,29391,29391
2019-10-15,31452,31452
2019-10-16,31160,31160
2019-10-17,31275,31275
2019-10-18,33586,33586
2019-10-19,31739,31739
2019-10-20,19754,19754
2019-10-21,30162,30162
2019-10-22,31838,31838
2019-10-23,32255,32255
2019-10-24,33119,33119
2019-10-25,37009,37009
2019-10-26,32417,32417
2019-10-27,21727,21727
2019-10-28,31276,31276
2019-10-29,32107,32107
2019-10-30,34794,34794
2019-10-31,33081,33081
2019-11-01,34338,34338
2019-11-02,33970,33970
2019-11-03,21042,21042
2019-11-04,30339,30339
2019-11-05,32352,32352
2019-11-06,32816,32816
2019-11-07,32614,32614
2019-11-08,34662,34662
2019-11-09,33325,33325
2019-11-10,19308,19308
2019-11-11,29387,29387
2019-11-12,31762,31762
2019-11-13,30656,30656
2019-11-14,31427,31427
2019-11-15,30819,30819
2019-11-16,32157,32157
2019-11-17,14906,14906
2019-11-18,29390,29390
2019-11-19,31052,31052
2019-11-20,31165,31165
2019-11-21,30807,30807
2019-11-22,33039,33039
2019-11-23,29566,29566
2019-11-24,16050,16050
2019-11-25,29015,29015
2019-11-26,30993,30993
2019-11-27,32696,32696
2019-11-28,32002,32002
2019-11-29,33533,33533
2019-11-30,29201,29201
2019-12-01,13566,13566
2019-12-02,29475,29475
2019-12-03,29583,29583
2019-12-04,30446,30446
2019-12-05,29581,29581
2019-12-06,31067,31067
2019-12-07,27554,27554
2019-12-08,15917,15917
2019-12-09,28924,28924
2019-12-10,29657,29657
2019-12-11,30612,30612
2019-12-12,30891,30891
2019-12-13,32043,32043
2019-12-14,28726,28726
2019-12-15,16421,16421
2019-12-16,30162,30162
2019-12-17,29670,29670
2019-12-18,31215,31215
2019-12-19,31469,31469
2019-12-20,33615,33615
2019-12-21,26828,26828
2019-12-22,18756,18756
2019-12-23,30807,30807
2019-12-24,32405,32405
2019-12-25,21818,21818
2019-12-26,31854,31854
2019-12-27,32500,32500
2019-12-28,26457,26457
2019-12-29,16693,16693
2019-12-30,27442,27442
2019-12-31,25878,25878
2020-01-01,12378,12378
2020-01-02,27464,27464
2020-01-03,29379,29379
2020-01-04,22650,22650
2020-01-05,13868,13868
2020-01-06,26599,26599
2020-01-07,25711,25711
2020-01-08,27881,27881
2020-01-09,28539,28539
2020-01-10,29247,29247
2020-01-11,23885,23885
2020-01-12,15009,15009
2020-01-13,27157,27157
2020-01-14,28268,28268
2020-01-15,28701,28701
2020-01-16,29021,29021
2020-01-17,29364,29364
2020-01-18,24476,24476
2020-01-19,13853,13853
2020-01-20,27326,27326
2020-01-21,27820,27820
2020-01-22,26703,26703
2020-01-23,20866,20866
2020-01-24,9845,9845
2020-01-25,11894,11894
2020-01-26,13947,13947
2020-01-27,12387,12387
2020-01-28,23408,23408
2020-01-29,25993,25993
2020-01-30,25950,25950
2020-01-31,26268,26268
2020-02-01,16920,16920
2020-02-02,10486,10486
2020-02-03,23963,23963
2020-02-04,24870,24870
2020-02-05,23801,23801
2020-02-06,23578,23578
2020-02-07,24168,24168
2020-02-08,15099,15099
2020-02-09,9931,9931
2020-02-10,22765,22765
2020-02-11,23841,23841
2020-02-12,22189,22189
2020-02-13,23916,23916
2020-02-14,24810,24810
2020-02-15,16335,16335
2020-02-16,9681,9681
2020-02-17,22510,22510
2020-02-18,22920,22920
2020-02-19,22976,22976
2020-02-20,22928,22928
