사용일자,6호선,합계
2019-09-03,10788,10788
2019-09-04,10521,10521
2019-09-05,10129,10129
2019-09-06,11652,11652
2019-09-07,7604,7604
2019-09-08,7349,7349
2019-09-09,9128,9128
2019-09-10,10072,10072
2019-09-11,10674,10674
2019-09-12,3903,3903
2019-09-13,3111,3111
2019-09-14,6168,6168
2019-09-15,6442,6442
2019-09-16,8754,8754
2019-09-17,10347,10347
2019-09-18,12009,12009
2019-09-19,10246,10246
2019-09-20,12364,12364
2019-09-21,12740,12740
2019-09-22,7481,7481
2019-09-23,9114,9114
2019-09-24,10859,10859
2019-09-25,11438,11438
2019-09-26,10921,10921
2019-09-27,11786,11786
2019-09-28,12120,12120
2019-09-29,8063,8063
2019-09-30,9369,9369
2019-10-01,10344,10344
2019-10-02,11455,11455
2019-10-03,9306,9306
2019-10-04,12126,12126
2019-10-05,12312,12312
2019-10-06,7611,7611
2019-10-07,8783,8783
2019-10-08,10998,10998
2019-10-09,9470,9470
2019-10-10,10620,10620
2019-10-11,11516,11516
2019-10-12,13612,13612
2019-10-13,8594,8594
2019-10-14,9123,9123
2019-10-15,9686,9686
2019-10-16,10341,10341
2019-10-17,10065,10065
2019-10-18,10842,10842
2019-10-19,10239,10239
2019-10-20,6518,6518
2019-10-21,9104,9104
2019-10-22,10017,10017
2019-10-23,10107,10107
2019-10-24,10980,10980
2019-10-25,12419,12419
2019-10-26,13212,13212
2019-10-27,6566,6566
2019-10-28,9617,9617
2019-10-29,9696,9696
2019-10-30,10091,10091
2019-10-31,10704,10704
2019-11-01,11312,11312
2019-11-02,12108,12108
2019-11-03,7717,7717
2019-11-04,9311,9311
2019-11-05,9710,9710
2019-11-06,10602,10602
2019-11-07,9774,9774
2019-11-08,11138,11138
2019-11-09,10555,10555
2019-11-10,6912,6912
2019-11-11,9011,9011
2019-11-12,10567,10567
2019-11-13,10532,10532
2019-11-14,12162,12162
2019-11-15,11306,11306
2019-11-16,12426,12426
2019-11-17,6850,6850
2019-11-18,8808,8808
2019-11-19,11464,11464
2019-11-20,11243,11243
2019-11-21,10661,10661
2019-11-22,12715,12715
2019-11-23,12704,12704
2019-11-24,7756,7756
2019-11-25,9019,9019
2019-11-26,11067,11067
2019-11-27,11778,11778
2019-11-28,11138,11138
2019-11-29,11865,11865
2019-11-30,12342,12342
2019-12-01,7827,7827
2019-12-02,8551,8551
2019-12-03,10187,10187
2019-12-04,10735,10735
2019-12-05,10330,10330
2019-12-06,11401,11401
2019-12-07,11217,11217
2019-12-08,7912,7912
2019-12-09,8596,8596
2019-12-10,10431,10431
2019-12-11,10175,10175
2019-12-12,11127,11127
2019-12-13,13118,13118
2019-12-14,12230,12230
2019-12-15,8632,8632
2019-12-16,8869,8869
2019-12-17,10217,10217
2019-12-18,11285,11285
2019-12-19,11695,11695
2019-12-20,12848,12848
2019-12-21,12587,12587
2019-12-22,8646,8646
2019-12-23,9376,9376
2019-12-24,13496,13496
2019-12-25,9600,9600
2019-12-26,10272,10272
2019-12-27,12044,12044
2019-12-28,11526,11526
2019-12-29,8162,8162
2019-12-30,8835,8835
2019-12-31,10902,10902
2020-01-01,4340,4340
2020-01-02,9576,9576
2020-01-03,10335,10335
2020-01-04,10860,10860
2020-01-05,7550,7550
2020-01-06,8113,8113
2020-01-07,10325,10325
2020-01-08,9860,9860
2020-01-09,9996,9996
2020-01-10,11153,11153
2020-01-11,11562,11562
2020-01-12,8345,8345
2020-01-13,8481,8481
2020-01-14,10062,10062
2020-01-15,10004,10004
2020-01-16,10106,10106
2020-01-17,11081,11081
2020-01-18,11647,11647
2020-01-19,8127,8127
2020-01-20,9480,9480
2020-01-21,9963,9963
2020-01-22,10062,10062
2020-01-23,9675,9675
2020-01-24,4178,4178
2020-01-25,2983,2983
2020-01-26,5300,5300
2020-01-27,4750,4750
2020-01-28,8054,8054
2020-01-29,9411,9411
2020-01-30,9572,9572
2020-01-31,10084,10084
2020-02-01,8784,8784
2020-02-02,5871,5871
2020-02-03,7860,7860
2020-02-04,9040,9040
2020-02-05,8751,8751
2020-02-06,8770,8770
2020-02-07,9771,9771
2020-02-08,8952,8952
2020-02-09,6597,6597
2020-02-10,8194,8194
2020-02-11,9146,9146
2020-02-12,8875,8875
2020-02-13,10260,10260
2020-02-14,10795,10795
2020-02-15,9563,9563
2020-02-16,6255,6255
2020-02-17,7799,7799
2020-02-18,8932,8932
2020-02-19,9336,9336
2020-02-20,9871,9871
2020-02-21,9848,9848
2020-02-22,7586,7586
2020-02-23,5366,5366
2020-02-24,6757,6757
2020-02-25,6483,6483
2020-02-26,6675,6675
2020-02-27,6425,6425
2020-02-28,6215,6215
2020-02-29,4680,4680
2020-03-01,2876,2876
2020-03-02,5570,5570
2020-03-03,5834,5834
2020-03-04,5987,5987
2020-03-05,6177,6177
2020-03-06,6687,6687
2020-03-07,5281,5281
2020-03-08,4053,4053
2020-03-09,5859,5859
2020-03-10,5912,5912
2020-03-11,6530,6530
2020-03-12,6421,6421
2020-03-13,6694,6694
2020-03-14,6346,6346
2020-03-15,4497,4497
2020-03-16,5839,5839
2020-03-17,6482,6482
2020-03-18,6957,6957
2020-03-19,6423,6423
2020-03-20,7585,7585
2020-03-21,6543,6543
2020-03-22,4753,4753
2020-03-23,5885,5885
2020-03-24,6714,6714
2020-03-25,7123,7123
2020-03-26,6588,6588
2020-03-27,7502,7502
2020-03-28,6530,6530
2020-03-29,4531,4531
2020-03-30,6026,6026
2020-03-31,6664,6664
2020-04-01,6425,6425
2020-04-02,6628,6628
2020-04-03,7257,7257
2020-04-04,5794,5794
2020-04-05,3803,3803
2020-04-06,5867,5867
2020-04-07,6420,6420
2020-04-08,6711,6711
2020-04-09,6817,6817
2020-04-10,7244,7244
2020-04-11,5945,5945
2020-04-12,3845,3845
2020-04-13,6201,6201
2020-04-14,6978,6978
2020-04-15,5182,5182
2020-04-16,6864,6864
2020-04-17,6873,6873
2020-04-18,6815,6815
2020-04-19,3829,3829
2020-04-20,6579,6579
2020-04-21,7191,7191
2020-04-22,7241,7241
2020-04-23,7834,7834
2020-04-24,8902,8902
2020-04-25,8135,8135
2020-04-26,5849,5849
2020-04-27,7086,7086
2020-04-28,8064,8064
2020-04-29,8779,8779
2020-04-30,7161,7161
2020-05-01,6924,6924
2020-05-02,7289,7289
2020-05-03,5414,5414
2020-05-04,7247,7247
2020-05-05,6284,6284
2020-05-06,8323,8323
2020-05-07,8426,8426
2020-05-08,8226,8226
2020-05-09,5095,5095
2020-05-10,3286,3286
2020-05-11,6510,6510
2020-05-12,7133,7133
2020-05-13,7033,7033
2020-05-14,6864,6864
2020-05-15,6820,6820
2020-05-16,4462,4462
2020-05-17,3189,3189
2020-05-18,6168,6168
2020-05-19,6717,6717
2020-05-20,7150,7150
2020-05-21,7282,7282
2020-05-22,7554,7554
2020-05-23,5013,5013
2020-05-24,3314,3314
2020-05-25,6615,6615
2020-05-26,7440,7440
2020-05-27,7582,7582
2020-05-28,7610,7610
2020-05-29,7951,7951
2020-05-30,5655,5655
2020-05-31,4189,4189
2020-06-01,6913,6913
2020-06-02,7106,7106
2020-06-03,7690,7690
2020-06-04,7613,7613
2020-06-05,7980,7980
2020-06-06,5636,5636
