사용일자,2호선,6호선,합계
2019-07-19,17425,10312,27737
2019-07-20,13051,6081,19132
2019-07-21,9417,5013,14430
2019-07-22,16617,10168,26785
2019-07-23,16833,10085,26918
2019-07-24,16532,9942,26474
2019-07-25,16620,10106,26726
2019-07-26,15595,9768,25363
2019-07-27,12418,5587,18005
2019-07-28,8682,4253,12935
2019-07-29,16119,9640,25759
2019-07-30,15896,9740,25636
2019-07-31,15417,9422,24839
2019-08-01,15687,9630,25317
2019-08-02,15452,9322,24774
2019-08-03,10845,4826,15671
2019-08-04,8896,3661,12557
2019-08-05,14265,6097,20362
2019-08-06,14847,6347,21194
2019-08-07,15131,6956,22087
2019-08-08,15541,7287,22828
2019-08-09,16064,7345,23409
2019-08-10,12128,5500,17628
2019-08-11,9451,4474,13925
2019-08-12,15619,9897,25516
2019-08-13,16575,10449,27024
2019-08-14,16971,10631,27602
2019-08-15,10437,6458,16895
2019-08-16,16067,10544,26611
2019-08-17,12303,5810,18113
2019-08-18,10141,5520,15661
2019-08-19,16384,10531,26915
2019-08-20,16941,10826,27767
2019-08-21,17036,10856,27892
2019-08-22,16808,10567,27375
2019-08-23,17413,10892,28305
2019-08-24,13245,6107,19352
2019-08-25,10324,4994,15318
2019-08-26,16600,10594,27194
2019-08-27,17157,10751,27908
2019-08-28,17202,10879,28081
2019-08-29,16717,10672,27389
2019-08-30,17993,11491,29484
2019-08-31,14042,7011,21053
2019-09-01,10588,5822,16410
2019-09-02,17123,10776,27899
2019-09-03,17694,11127,28821
2019-09-04,17106,10819,27925
2019-09-05,16894,10901,27795
2019-09-06,17762,11093,28855
2019-09-07,10200,5134,15334
2019-09-08,10543,5357,15900
2019-09-09,17265,10913,28178
2019-09-10,17359,11008,28367
2019-09-11,16702,8170,24872
2019-09-12,7336,2330,9666
2019-09-13,6249,2352,8601
2019-09-14,8011,3473,11484
2019-09-15,9548,3654,13202
2019-09-16,16533,9599,26132
2019-09-17,17352,11178,28530
2019-09-18,17645,10903,28548
2019-09-19,17701,11018,28719
2019-09-20,18024,11183,29207
2019-09-21,14343,6498,20841
2019-09-22,9471,5586,15057
2019-09-23,17143,10874,28017
2019-09-24,17696,10905,28601
2019-09-25,17829,11345,29174
2019-09-26,17838,10948,28786
2019-09-27,18059,11244,29303
2019-09-28,14412,7102,21514
2019-09-29,11007,5734,16741
2019-09-30,17152,10799,27951
2019-10-01,17429,10637,28066
2019-10-02,17602,11234,28836
2019-10-03,12642,6946,19588
2019-10-04,17502,11012,28514
2019-10-05,14180,6770,20950
2019-10-06,11035,5191,16226
2019-10-07,16257,10772,27029
2019-10-08,18159,11511,29670
2019-10-09,12965,6885,19850
2019-10-10,17489,11200,28689
2019-10-11,18260,11429,29689
2019-10-12,14234,6795,21029
2019-10-13,11311,6297,17608
2019-10-14,17111,10800,27911
2019-10-15,17626,10772,28398
2019-10-16,17613,10858,28471
2019-10-17,17285,11196,28481
2019-10-18,17767,11068,28835
2019-10-19,14314,7009,21323
2019-10-20,11002,6024,17026
2019-10-21,16936,10854,27790
2019-10-22,17408,11008,28416
2019-10-23,17432,10941,28373
2019-10-24,17494,11130,28624
2019-10-25,18238,10981,29219
2019-10-26,14752,6630,21382
2019-10-27,11297,5521,16818
2019-10-28,17425,10948,28373
2019-10-29,17802,10691,28493
2019-10-30,17478,10825,28303
2019-10-31,17551,10702,28253
2019-11-01,17879,10887,28766
2019-11-02,14225,6234,20459
2019-11-03,11056,5629,16685
2019-11-04,17045,10577,27622
2019-11-05,17344,10748,28092
2019-11-06,17294,10688,27982
2019-11-07,17501,10731,28232
2019-11-08,17791,10916,28707
2019-11-09,14587,6379,20966
2019-11-10,10693,5435,16128
2019-11-11,16656,10463,27119
2019-11-12,17416,10551,27967
2019-11-13,17031,10884,27915
2019-11-14,17231,10421,27652
2019-11-15,17147,10853,28000
2019-11-16,14494,6901,21395
2019-11-17,9564,5831,15395
2019-11-18,17122,10579,27701
2019-11-19,17506,11177,28683
2019-11-20,17672,11507,29179
2019-11-21,17575,11089,28664
2019-11-22,18252,11640,29892
2019-11-23,14932,7452,22384
2019-11-24,10881,6196,17077
2019-11-25,17017,10623,27640
2019-11-26,17729,11162,28891
2019-11-27,18079,11661,29740
2019-11-28,17840,11331,29171
2019-11-29,18400,11402,29802
2019-11-30,14594,6951,21545
2019-12-01,9621,5516,15137
2019-12-02,17169,10581,27750
2019-12-03,17354,11254,28608
2019-12-04,17715,11525,29240
2019-12-05,17693,11231,28924
2019-12-06,17684,12101,29785
2019-12-07,14862,7421,22283
2019-12-08,11022,5792,16814
2019-12-09,16727,10764,27491
2019-12-10,17740,11319,29059
2019-12-11,17769,11404,29173
2019-12-12,17796,11482,29278
2019-12-13,18729,11945,30674
2019-12-14,15813,7560,23373
2019-12-15,11186,5955,17141
2019-12-16,17155,10557,27712
2019-12-17,16878,10829,27707
2019-12-18,17943,11718,29661
2019-12-19,18247,11263,29510
2019-12-20,19020,11938,30958
2019-12-21,16009,7484,23493
2019-12-22,11646,5952,17598
2019-12-23,17952,11030,28982
2019-12-24,18808,11520,30328
2019-12-25,11835,6667,18502
2019-12-26,17466,11151,28617
2019-12-27,18146,11589,29735
2019-12-28,14103,6671,20774
2019-12-29,10368,5591,15959
2019-12-30,16736,10632,27368
2019-12-31,16280,8050,24330
2020-01-01,7796,3630,11426
2020-01-02,16169,8744,24913
2020-01-03,16803,9575,26378
2020-01-04,13130,6013,19143
2020-01-05,10098,5206,15304
2020-01-06,16263,10092,26355
2020-01-07,15754,10537,26291
2020-01-08,16917,10536,27453
2020-01-09,16835,10214,27049
2020-01-10,17731,10976,28707
2020-01-11,13976,6880,20856
2020-01-12,10658,5591,16249
2020-01-13,16398,9787,26185
2020-01-14,17177,10442,27619
2020-01-15,17506,10987,28493
2020-01-16,17378,10382,27760
2020-01-17,17507,10948,28455
2020-01-18,14301,6920,21221
2020-01-19,10066,5531,15597
2020-01-20,16764,9648,26412
2020-01-21,17264,10049,27313
2020-01-22,17433,10510,27943
2020-01-23,15701,7166,22867
2020-01-24,6734,2252,8986
2020-01-25,5664,1808,7472
2020-01-26,8541,3540,12081
2020-01-27,7954,3773,11727
2020-01-28,14839,7987,22826
2020-01-29,16102,10078,26180
2020-01-30,15788,9619,25407
2020-01-31,16051,9974,26025
2020-02-01,11429,5780,17209
2020-02-02,8197,4632,12829
2020-02-03,14829,8911,23740
2020-02-04,15357,9570,24927
2020-02-05,14777,9689,24466
2020-02-06,14668,9217,23885
2020-02-07,15393,10260,25653
2020-02-08,10760,5357,16117
2020-02-09,8049,4898,12947
2020-02-10,14691,9078,23769
2020-02-11,15478,9661,25139
