사용일자,3호선,6호선,합계
2019-07-19,16121,4506,20627
2019-07-20,10490,2919,13409
2019-07-21,7873,1946,9819
2019-07-22,15488,4410,19898
2019-07-23,15780,4372,20152
2019-07-24,15074,4303,19377
2019-07-25,14938,4185,19123
2019-07-26,14649,4181,18830
2019-07-27,10166,2919,13085
2019-07-28,7318,1775,9093
2019-07-29,14359,4053,18412
2019-07-30,14675,4148,18823
2019-07-31,13775,3920,17695
2019-08-01,14049,3974,18023
2019-08-02,14114,4143,18257
2019-08-03,9166,2552,11718
2019-08-04,7573,1827,9400
2019-08-05,13842,4019,17861
2019-08-06,14237,4060,18297
2019-08-07,14124,3989,18113
2019-08-08,14435,4068,18503
2019-08-09,14945,4152,19097
2019-08-10,9820,2725,12545
2019-08-11,8096,1898,9994
2019-08-12,14333,4005,18338
2019-08-13,15150,4410,19560
2019-08-14,15350,4243,19593
2019-08-15,8048,2065,10113
2019-08-16,14167,4091,18258
2019-08-17,9822,2825,12647
2019-08-18,8142,1995,10137
2019-08-19,15311,4356,19667
2019-08-20,15737,4501,20238
2019-08-21,15713,4341,20054
2019-08-22,15509,4371,19880
2019-08-23,16316,4645,20961
2019-08-24,10774,3039,13813
2019-08-25,8309,2094,10403
2019-08-26,15564,4339,19903
2019-08-27,15787,4533,20320
2019-08-28,15896,4361,20257
2019-08-29,15343,4214,19557
2019-08-30,16199,4451,20650
2019-08-31,11120,3047,14167
2019-09-01,8567,2187,10754
2019-09-02,15847,4486,20333
2019-09-03,16206,4512,20718
2019-09-04,15747,4275,20022
2019-09-05,15766,4335,20101
2019-09-06,16507,4586,21093
2019-09-07,8248,2297,10545
2019-09-08,8297,2109,10406
2019-09-09,15908,4390,20298
2019-09-10,16012,4488,20500
2019-09-11,15343,4203,19546
2019-09-12,5294,1508,6802
2019-09-13,5517,1345,6862
2019-09-14,6281,1473,7754
2019-09-15,7848,1905,9753
2019-09-16,15475,4376,19851
2019-09-17,15995,4674,20669
2019-09-18,16221,4577,20798
2019-09-19,16298,4471,20769
2019-09-20,16887,4746,21633
2019-09-21,11406,3236,14642
2019-09-22,7699,1917,9616
2019-09-23,15702,4702,20404
2019-09-24,16108,4624,20732
2019-09-25,15991,4598,20589
2019-09-26,15932,4597,20529
2019-09-27,16657,4933,21590
2019-09-28,11690,3383,15073
2019-09-29,8602,2107,10709
2019-09-30,15803,4488,20291
2019-10-01,15992,4671,20663
2019-10-02,16251,4576,20827
2019-10-03,9607,2489,12096
2019-10-04,15254,4354,19608
2019-10-05,11565,3181,14746
2019-10-06,8417,2184,10601
2019-10-07,15394,4305,19699
2019-10-08,16511,4690,21201
2019-10-09,9795,2462,12257
2019-10-10,15579,4431,20010
2019-10-11,16678,4688,21366
2019-10-12,11818,3377,15195
2019-10-13,8770,2323,11093
2019-10-14,15884,4468,20352
2019-10-15,16340,4638,20978
2019-10-16,16197,4513,20710
2019-10-17,16229,4520,20749
2019-10-18,16479,4656,21135
2019-10-19,11736,3314,15050
2019-10-20,8869,2301,11170
2019-10-21,15918,4402,20320
2019-10-22,16052,4497,20549
2019-10-23,16136,4593,20729
2019-10-24,15834,4545,20379
2019-10-25,17360,4775,22135
2019-10-26,12591,3641,16232
2019-10-27,9142,2373,11515
2019-10-28,16226,4573,20799
2019-10-29,16134,4611,20745
2019-10-30,16152,4763,20915
2019-10-31,16094,4754,20848
2019-11-01,16381,4750,21131
2019-11-02,11611,3191,14802
2019-11-03,8919,2194,11113
2019-11-04,15856,4493,20349
2019-11-05,16075,4610,20685
2019-11-06,16155,4714,20869
2019-11-07,16053,4542,20595
2019-11-08,16930,4746,21676
2019-11-09,11458,3157,14615
2019-11-10,8641,2002,10643
2019-11-11,15728,4486,20214
2019-11-12,16171,4596,20767
2019-11-13,15871,4494,20365
2019-11-14,15579,4478,20057
2019-11-15,16514,4559,21073
2019-11-16,11532,3227,14759
2019-11-17,7944,1877,9821
2019-11-18,15739,4588,20327
2019-11-19,15903,4472,20375
2019-11-20,16238,4682,20920
2019-11-21,15767,4518,20285
2019-11-22,16546,4764,21310
2019-11-23,11301,3225,14526
2019-11-24,8282,2021,10303
2019-11-25,15990,4662,20652
2019-11-26,16140,4581,20721
